endpoint_id,url,content,station,latitude,longitude,receiver_mode,region_id,expected_content_type
isee_mos_2025010100,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2025/01/isee_vlf_mos_2025010100_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2025063023,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2025/06/isee_vlf_mos_2025063023_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026063023_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/06/isee_vlf_mos_2026063023_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026061000,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/06/isee_vlf_mos_2026061000_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026062000,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/06/isee_vlf_mos_2026062000_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026062900,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/06/isee_vlf_mos_2026062900_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026060100,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/06/isee_vlf_mos_2026060100_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026060500,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/06/isee_vlf_mos_2026060500_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026061500,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/06/isee_vlf_mos_2026061500_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026062500,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/06/isee_vlf_mos_2026062500_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2025011500,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2025/01/isee_vlf_mos_2025011500_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071500,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071500_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071506,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071506_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071512,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071512_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071518,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071518_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071600,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071600_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071606,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071606_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071612,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071612_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071618,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071618_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071700,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071700_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071800,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071800_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026071900,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026071900_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072000,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072000_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072100,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072100_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072200,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072200_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072300,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072300_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072400,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072400_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072500,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072500_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072600,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072600_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072700,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072700_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072704_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072704_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
